Votes Total,Residents Total,Residents 0-14,Residents 15-64,Residents 65+,Population without Education,Population with High School,Companies Created,Average Monthly Income,Employees per Sector Total,Employees per Sector Agriculture,Employees per Sector Extraction Industries,Employees per Sector Transformation Industries,Employees per Sector Construction,Employees per Sector Gross and Retails Markets,Employees per Sector Administration and Services,Employees per Economic Sector Banks,Employees per Economic Sector Others,Companies Dissolved,Unemployment Total,Unemployment <25,ranking
4399,7768,965,5208,1596,990,784,11,672.7,1827,0,0,108,255,585,267,13,0,9,625.6,92.2,d>e>b>c>a
5340,7914,634,4458,2823,1641,886,15,905.1,1819,765,13,81,149,358,65,15,0,3,439.3,56.9,e>c>d>b>a
4748,6733,634,3973,2127,1204,747,15,726.1,1854,955,63,194,110,233,40,0,0,9,312.2,49.4,d>e>c>b>a
30316,50224,6700,33634,9891,4468,7426,112,799.5,12888,1904,78,1152,1088,2661,728,140,27,129,3186.3,382.0,e>d>a>c>b
3728,4659,407,2766,1487,930,488,4,634.4,1327,788,0,61,97,129,19,0,0,7,354.3,45.5,e>c>d>b>a
18028,33900,3915,21909,8076,4022,4749,69,749.5,9787,2895,23,1079,848,1918,283,93,41,85,1616.5,253.2,d>e>a>c>b
10673,14802,1464,8840,4498,2323,1616,26,692.5,4141,1770,0,229,268,812,92,36,0,26,815.5,97.6,e>b>d>a>c
5102,7084,625,4148,2311,1322,838,10,689.2,1890,663,0,222,175,388,41,18,11,9,257.5,34.2,e>c>d>b>a
13838,22280,2459,13826,5995,3292,2861,42,708.8,5606,1532,0,673,333,1275,237,56,0,42,1584.1,244.0,e>d>b>c>a
6771,8745,803,4958,2984,1830,912,8,664.1,2379,1203,0,115,143,422,61,12,0,13,517.2,69.1,e>c>d>b>a
4486,6206,598,3760,1849,1068,647,7,631.2,1777,922,0,102,84,274,46,0,0,9,427.3,53.6,e>b>c>a>d
3425,4213,419,2276,1519,991,362,9,622.9,856,351,0,103,79,159,16,10,0,6,186.3,27.1,d>e>c>b>a
7048,8197,607,4248,3342,1779,731,7,640.4,2180,1316,0,119,134,240,52,11,0,6,448.3,51.4,e>c>d>b>a
25064,54846,6808,36010,12029,5701,7184,171,740.2,18512,1446,293,5774,1593,4500,930,117,40,158,1768.8,252.4,d>e>b>c>a
16614,43212,6812,28310,8090,4111,6173,108,881.5,12535,1008,0,4005,837,2582,951,62,27,191,1406.8,138.3,e>b>d>a>c
6478,14589,2430,9406,2754,1039,1957,53,846.3,4254,201,0,703,215,889,235,22,0,63,384.1,39.7,e>d>c>b>a
6070,12636,1596,8085,2955,1458,1550,26,701.2,3593,715,0,463,310,1210,186,31,0,23,448.3,42.0,e>c>d>b>a
6663,13809,1770,8384,3655,1823,1671,20,697.7,3440,914,0,423,231,991,192,19,14,39,515.3,57.2,d>e>c>b>a
20616,51550,6916,33638,10997,4697,7513,147,752.6,16198,1030,0,2172,1050,3718,2742,129,47,152,1929.0,219.5,d>e>a>c>b
11899,25624,3735,16844,5046,2945,3179,37,706.5,7260,1913,0,852,710,1488,432,41,37,87,870.1,103.2,e>d>c>b>a
6791,14386,1991,9218,3178,1406,1913,40,704.8,3922,224,0,740,200,778,348,28,0,29,551.7,72.3,e>d>c>a>b
5786,11634,1547,7320,2768,1370,1457,56,789.3,3664,512,0,334,372,838,231,13,11,34,390.0,36.0,d>e>c>a>b
12083,26921,3900,17235,5787,2850,3158,57,737.2,6937,833,0,1639,564,1450,312,49,13,48,1089.9,125.4,d>e>c>b>a
4639,10263,1550,6886,1827,951,1324,20,717.4,2691,171,0,643,252,663,279,20,0,32,308.3,34.8,d>c>e>b>a
34695,78845,11351,51360,16134,7616,10130,232,778.4,26981,3069,0,5807,2380,6581,1559,154,78,330,3181.0,379.3,e>b>d>a>c
23863,46713,5876,30534,10303,4116,5589,120,798.1,19213,546,65,10056,943,3924,704,118,30,93,1574.0,213.7,e>d>b>c>a
13406,24412,3247,16329,4837,2092,2783,63,804.1,8697,454,0,3871,725,1531,324,50,0,42,895.6,138.7,c>d>b>e>a
14115,27899,3117,17573,7210,3342,3287,62,780.7,8988,975,0,3616,706,1346,473,53,15,47,904.0,106.0,b>e>c>d>a
32397,77062,10845,51576,14642,4769,10510,300,926.7,28309,571,11,7319,1343,5349,2793,334,0,219,3538.2,390.6,e>b>c>a>d
11868,26290,3478,17330,5483,2402,2878,40,862.4,7794,413,0,2447,606,1517,612,61,0,34,1130.7,170.8,e>c>d>b>a
14772,38387,5428,25909,7051,2602,4761,85,839.5,11867,1224,49,5151,540,1604,710,71,0,74,1677.6,204.4,d>e>b>a>c
4646,10374,1537,6682,2156,1199,880,8,673.0,2374,443,0,651,210,354,149,20,0,13,340.2,47.9,d>e>b>c>a
10790,23704,3410,15413,4881,2341,2628,53,783.7,8559,400,0,3758,593,1917,380,51,24,58,745.7,104.9,b>d>c>e>a
26586,54544,7210,37507,9828,3949,7022,138,783.3,18370,387,3,7988,847,3821,1443,96,9,124,2903.3,347.2,d>e>b>c>a
7305,11777,1319,7514,2945,1212,1381,27,780.1,3858,286,4,1681,444,659,86,26,0,27,419.6,49.5,e>d>b>c>a
11417,22873,3114,14946,4813,2666,2486,47,748.7,6919,380,0,2519,496,1409,697,39,30,55,662.3,90.0,c>e>b>d>a
6814,11375,1152,7032,3191,1952,1249,17,670.6,2526,149,0,687,440,530,96,18,19,20,460.8,81.9,d>e>c>b>a
17307,35742,4171,22310,9262,4846,4096,68,805.1,11365,1395,48,2941,1193,2488,640,84,41,64,1288.0,139.0,d>e>c>b>a
65125,134463,16842,85169,32452,9331,21230,439,900.6,40201,1028,11,3178,2582,8589,3112,497,42,497,6817.3,847.6,e>c>d>b>a
7469,17441,2586,11490,3366,1705,2438,32,735.2,3566,131,10,729,248,658,284,27,0,33,578.8,65.0,e>d>b>a>c
26563,60186,7388,38151,14647,6642,8623,132,874.2,17766,1020,39,4347,2163,3075,1491,134,16,154,3242.8,347.1,e>d>c>a>b
2669,3961,407,2326,1229,830,393,5,620.8,874,0,0,126,232,166,43,0,0,3,167.6,29.9,e>c>d>b>a
7718,17216,2623,11383,3211,1314,2466,38,744.7,3734,0,0,1097,394,752,302,30,0,34,771.0,110.8,e>d>b>a>c
8919,20128,2542,13022,4564,1807,2644,36,739.1,5992,395,0,1078,370,999,434,39,23,46,646.7,84.6,e>b>c>a>d
7142,12064,1425,7555,3084,1664,1340,30,711.9,3253,356,0,766,293,836,113,18,0,28,524.8,54.3,d>e>c>b>a
6742,12853,1420,8602,2832,1366,1640,16,661.1,2228,264,0,139,394,583,167,15,0,21,437.1,64.9,e>b>d>a>c
13473,25624,3141,16441,6043,3265,3402,39,681.4,5108,0,0,716,643,834,358,25,40,33,1228.8,130.9,e>b>d>a>c
5391,9130,935,5552,2644,1437,934,17,758.0,3375,581,0,1060,412,527,175,25,0,10,247.9,37.9,d>e>b>c>a
11641,19876,2253,12547,5076,2695,2123,50,659.5,5461,193,18,1778,1019,1143,163,35,26,32,840.4,148.3,e>d>c>b>a
2401,4128,299,2166,1663,1213,350,8,679.8,506,54,0,41,143,100,7,9,0,7,126.0,15.0,d>e>c>b>a
8280,14300,1518,8916,3867,2163,1437,18,687.7,2945,162,0,275,686,665,153,20,0,27,443.5,70.8,e>d>c>b>a
3038,5584,630,3307,1648,916,632,10,677.5,1679,144,0,350,208,255,174,0,0,16,174.5,28.1,d>e>c>b>a
9051,17913,1970,10708,5236,3205,2579,18,698.4,3059,270,47,696,243,715,141,21,10,26,619.3,83.2,e>c>d>b>a
6786,11675,1430,7496,2749,1575,1201,16,616.3,4418,153,4,2738,279,508,74,16,0,28,478.2,64.3,e>d>c>b>a
3618,7033,927,4788,1319,803,867,8,688.6,2347,77,0,570,124,984,112,0,0,16,303.4,60.8,e>d>c>b>a
4019,6842,650,3992,2201,1364,708,8,623.0,1965,185,0,233,324,423,28,12,0,12,265.0,38.0,d>e>b>c>a
7028,12512,1348,7793,3371,2027,1566,21,692.0,3476,156,0,776,590,774,116,24,11,28,517.2,78.3,e>d>b>c>a
7221,15839,2239,10439,3162,1478,2013,49,753.9,7088,209,83,1943,1163,1761,376,32,0,50,441.0,59.0,d>e>b>c>a
1914,2769,243,1582,945,518,294,2,787.9,632,37,0,197,43,111,52,0,0,3,174.3,21.3,d>e>c>b>a
3905,5784,555,3403,1827,1037,634,14,687.4,1072,100,0,137,179,283,37,0,0,9,337.8,45.5,e>c>d>b>a
58368,125622,17600,83975,24047,10931,17851,480,821.2,49221,1589,226,12362,6721,11226,3350,401,93,365,4124.7,535.0,e>a>b>d>c
15828,38587,5412,24988,8188,3198,5809,99,950.6,14786,83,0,7339,401,2394,1045,81,0,92,1444.3,179.2,e>b>d>a>c
2247,3539,384,2064,1092,697,392,6,659.7,895,90,0,246,56,189,50,0,0,6,162.6,28.0,e>d>c>b>a
24793,53288,6656,33912,12721,8928,6453,132,745.3,17587,678,254,3592,3483,3719,636,118,87,126,1573.0,235.0,d>e>a>c>b
12170,23713,3130,15396,5187,2569,2801,60,766.0,7846,356,355,2767,816,1437,288,56,31,55,831.9,123.4,d>e>c>b>a
4016,4987,445,3195,1348,1236,514,11,604.0,1416,290,26,168,202,376,14,13,0,8,180.3,28.6,b>e>c>d>a
4959,9526,1171,5926,2430,1317,993,16,703.2,2559,191,0,929,241,369,97,16,0,15,375.5,43.8,e>d>c>b>a
9214,14448,1692,8722,4035,2765,1262,18,638.6,2836,323,76,419,391,765,72,27,5,25,786.5,126.2,e>c>d>b>a
10418,19145,2410,12008,4728,2272,2135,37,738.6,6954,446,70,2448,374,1068,140,39,0,23,941.3,137.3,e>d>c>b>a
7869,13413,1693,8287,3434,1529,1601,14,804.0,3588,345,0,1426,336,548,145,31,0,45,539.9,76.4,e>c>b>d>a
5934,10030,1356,6516,2158,1041,1132,27,865.9,5536,553,0,2500,745,949,113,22,0,29,362.3,55.3,e>c>d>b>a
5042,7440,788,4495,2157,1509,640,7,639.0,1588,419,38,131,359,219,23,0,0,6,394.2,44.1,e>c>d>b>a
5812,10831,1242,6636,2953,1432,1255,16,705.1,2378,168,0,490,342,463,256,0,0,14,434.5,57.8,e>c>d>b>a
10290,15970,1798,9736,4437,2341,1779,32,630.7,3409,513,0,681,390,685,153,23,21,22,746.8,121.2,e>d>c>b>a
7336,11892,1305,7790,2798,1913,1249,16,597.4,2415,313,0,420,490,485,75,18,0,15,636.2,96.9,c>e>d>b>a
15646,27508,2897,16658,7954,3832,3073,36,777.8,7728,974,8,2495,705,1307,456,56,0,39,828.0,135.7,d>e>b>c>a
3068,4871,564,3018,1290,888,518,5,612.3,879,166,0,140,114,210,19,0,0,8,261.6,42.3,e>c>d>b>a
45086,98007,13817,64530,19661,8360,13792,273,763.3,25974,1268,0,3241,3499,5966,1781,614,21,262,4840.5,673.9,d>e>a>c>b
5988,9982,1068,6100,2814,1360,1038,18,678.7,2175,481,0,486,338,339,82,0,0,19,374.6,50.0,d>e>b>c>a
25194,53317,6614,33537,13167,6030,8265,108,745.8,12643,839,0,2218,1233,2691,637,148,0,94,2409.4,243.7,e>d>c>a>b
4628,8626,827,4247,3553,2491,747,25,668.5,1714,537,0,173,154,279,43,0,23,14,435.9,50.3,e>c>d>b>a
3501,5234,333,2884,2017,1381,432,6,679.1,1001,124,0,295,139,189,35,11,0,6,137.8,16.3,c>e>d>b>a
3411,5061,330,2687,2044,1451,456,4,657.2,861,160,0,93,174,164,65,0,0,8,178.9,21.8,e>b>c>d>a
4798,7682,665,4556,2462,1451,937,7,667.2,1696,179,0,354,238,383,103,16,0,9,220.0,26.4,e>d>c>b>a
2068,3261,164,1808,1289,616,309,5,939.2,920,126,0,441,65,60,30,0,0,8,86.8,11.1,e>c>d>b>a
16513,36493,4232,22255,10006,4396,4933,56,835.4,7431,553,0,1882,485,1685,446,78,14,62,1867.1,214.3,e>d>b>a>c
6468,13131,1704,8135,3293,1342,1807,27,799.3,6419,100,0,2576,194,1404,172,29,0,43,402.7,59.1,e>c>d>b>a
2358,3987,568,2534,886,404,556,4,943.6,975,32,0,599,18,51,30,13,0,8,174.9,18.8,e>c>d>b>a
8979,20683,3143,13710,3830,1002,3615,42,854.4,4565,44,0,1371,197,1086,444,44,0,47,762.4,94.8,e>d>a>b>c
4856,8159,905,5030,2225,1453,892,10,663.9,2283,528,0,408,466,401,80,10,0,18,206.6,46.1,d>e>b>a>c
4387,6642,506,3693,2444,1346,653,12,653.6,1299,142,0,274,198,315,63,0,0,10,227.2,24.2,d>e>b>c>a
22292,44894,5769,29353,9773,5947,5559,116,749.6,14856,409,0,2837,2541,3293,699,140,12,126,1202.2,189.1,e>c>d>b>a
2331,3807,390,2435,982,451,498,1,655.9,721,86,0,83,157,135,42,0,0,10,174.3,23.7,d>e>c>b>a
8702,15074,1754,9077,4244,2592,1785,25,652.3,3814,391,0,765,611,898,108,30,35,17,609.3,106.6,d>e>b>c>a
18525,37989,4222,23567,10201,4049,5456,74,771.6,7295,295,0,1239,660,1875,476,83,9,67,1333.1,171.7,e>d>c>a>b
16267,35504,4498,22210,8796,3412,5155,88,799.9,9418,428,0,2014,741,1894,716,97,0,64,1281.2,165.0,e>d>b>a>c
1941,3374,220,2002,1152,686,328,14,628.6,656,56,0,160,132,105,24,8,0,7,92.6,17.0,d>e>b>c>a
3314,7300,907,4476,1918,626,1061,11,677.3,892,15,0,81,59,285,93,8,0,8,267.5,44.8,e>c>d>b>a
4604,6263,392,3609,2263,1150,794,6,637.9,1138,244,0,58,119,228,56,19,0,8,180.4,23.8,d>e>c>b>a
3795,6519,685,4165,1669,988,796,15,647.4,1952,164,0,779,173,361,70,15,0,9,403.9,49.6,e>b>d>c>a
5156,7207,787,4287,2134,1312,722,6,616.4,1391,169,0,367,92,247,46,16,0,14,349.3,49.2,d>e>c>b>a
27629,48463,5549,30323,12591,5682,6817,79,725.2,12127,465,315,3582,800,2223,798,117,0,107,2838.8,324.3,e>a>c>d>b
4087,5882,656,3374,1853,1150,528,8,629.7,1257,547,0,116,87,186,23,15,0,8,270.8,41.5,e>d>b>c>a
3421,4758,465,2980,1314,866,423,5,593.3,859,0,0,125,121,186,23,0,0,4,210.1,30.8,e>d>b>c>a
15181,27535,3091,16827,7618,4506,3099,39,677.7,6966,1119,0,1509,570,1557,243,57,29,65,1507.8,181.2,d>e>c>b>a
7228,13019,1192,7537,4291,2126,1279,21,663.3,2194,300,0,234,277,563,144,27,6,24,584.3,74.0,d>e>b>c>a
22537,40048,4954,26281,8813,3848,5812,86,756.3,11641,708,10,2158,1039,2547,363,125,0,119,1891.8,216.0,d>e>b>a>c
2245,3169,267,2010,893,436,368,2,679.6,575,28,0,65,145,102,23,0,0,4,165.3,19.2,e>d>c>b>a
3501,4771,431,2656,1685,1017,426,4,634.8,1227,455,0,99,222,175,33,10,0,4,113.8,23.0,e>c>b>d>a
5484,8913,845,5120,2948,1642,941,12,641.0,2584,1098,0,320,278,399,63,0,6,14,295.3,41.8,d>e>c>b>a
7697,11366,852,6142,4372,2783,1092,9,642.4,2295,421,0,347,339,543,63,27,0,10,348.5,60.2,d>e>c>b>a
12843,23178,2355,14534,6290,3096,2768,30,672.7,5218,0,0,1250,589,1330,166,53,38,45,1051.9,143.3,e>d>c>b>a
5834,9277,842,5600,2835,1620,1002,6,683.4,2530,667,0,219,273,681,44,23,0,17,263.2,36.8,e>d>b>c>a
7583,18914,3377,12449,3088,1090,2926,46,1379.2,4991,418,0,627,450,1573,391,29,0,99,766.5,87.3,e>c>d>b>a
63146,169510,25539,106036,37935,11069,28068,535,875.2,33497,376,9,1800,2544,6130,5640,416,0,860,8163.3,812.4,e>c>d>a>b
58589,177407,27042,110456,39910,11752,28390,494,1091.6,51367,0,0,4027,3486,10846,12484,367,0,799,8062.6,858.7,e>b>d>a>c
32970,76206,10899,46195,19113,5249,12494,117,857.1,12155,119,9,1529,1217,2522,1206,152,0,187,4380.8,480.9,e>c>d>a>b
73450,210625,34177,135105,41343,9767,37171,1151,985.6,64739,0,0,3871,4255,13468,7515,525,0,1296,9259.2,812.6,e>b>d>a>c
241983,504718,77521,284170,143027,32413,80869,5386,1289.4,564986,4641,377,17080,17116,109946,142140,17839,391,5105,26881.7,2491.8,e>d>c>a>b
83438,206719,32384,131461,42874,13596,31177,591,943.5,61192,0,0,7660,4494,14427,8610,298,46,852,8787.9,914.6,d>a>e>b>c
31315,82271,14764,54578,12929,4889,11779,329,740.2,26573,1105,9,3879,1895,5394,4293,143,41,481,2488.9,222.1,d>e>c>a>b
23568,64936,10142,42153,12641,5139,9906,107,796.9,8611,291,0,1443,988,1821,889,95,0,186,4116.2,464.3,d>b>e>a>c
18065,55448,9430,36675,9343,4124,8215,142,807.1,15494,2469,0,1772,639,2975,3345,106,0,229,2825.7,308.2,e>b>d>a>c
55143,155273,24779,99833,30661,8274,23533,548,773.0,30697,259,0,3347,3560,6346,5779,240,0,688,6216.8,550.7,e>b>d>a>c
77948,173794,27288,106034,40473,7196,30518,831,1404.7,137843,0,0,7548,16021,31267,32307,3489,0,1450,6265.0,527.8,e>b>d>a>c
21926,64128,10346,41700,12082,5271,9448,180,1054.9,23426,0,0,9236,1834,2962,2623,94,22,223,2456.1,260.8,d>b>e>a>c
56177,164874,25937,108928,30010,8558,26710,428,1001.1,28919,0,0,3738,2771,6725,3813,242,0,571,7183.5,698.0,d>c>e>a>b
18084,50853,8569,33786,8499,3167,7998,110,766.9,8937,711,71,585,1084,1741,1047,86,9,205,1877.6,196.1,d>b>e>a>c
