Elect.Particip,Old.Pop.,Mid.aged.Pop.,Young.Pop.,Children.Pop.,Highschool.degree,No.school.degree,Registrd.Web.Doms,Business.Regstr.,Income,GDP.growth.2009,GDP.growth.2008,Workforce,X.cars,Agricult..workf.,Prod..workf.,Manufac..Workf.,Constr..workf.,Service.workf.,Trade.workf.,Finance.workf.,Pub..serv..workf.,Bankruptcies,Unemploy.,Unempl..Youth,ranking,Type_Urban,State_Bavaria,State_Berlin,State_Brandenburg,State_Bremen,State_Hamburg,State_Hesse,State_Lower Saxony,State_Mecklenburg-Vorpommern,State_NRW,State_Rhineland-Palatinate,State_Saarland,State_Saxony,State_Saxony-Anhalt,State_Schleswig-Holstein,State_Thuringia,Region_North,Region_South,Region_West
69.7,28.0,24.6,8.1,18.4,21.1,5.3,90.0,72.2,17152.0,-1.2,1.0,646.5,532.6,6.0,26.4,18.1,7.0,67.6,26.0,9.4,32.3,102.8,7.5,9.3,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74.0,28.2,24.1,7.3,17.3,36.4,4.8,112.7,89.9,18494.0,-2.6,-0.9,586.5,545.8,2.1,24.9,19.0,5.5,73.0,25.9,10.9,36.3,114.8,8.6,9.4,b>a>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
71.9,27.6,24.3,7.9,18.3,19.1,7.4,104.3,83.4,18047.0,-3.6,4.9,653.3,517.2,3.3,22.0,13.6,5.6,74.7,24.4,10.6,39.6,177.6,8.4,9.0,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.2,28.7,23.6,7.1,17.7,16.3,8.6,87.7,77.5,18258.0,-1.4,0.6,540.4,532.7,7.4,19.3,10.8,7.7,73.4,28.4,8.5,36.5,127.3,7.0,7.5,a>b>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
77.9,28.7,25.3,6.8,18.4,26.2,4.3,160.1,110.8,22416.0,-0.8,5.8,504.7,567.8,4.3,18.5,10.1,8.0,77.2,34.8,12.8,29.6,98.3,5.2,6.4,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.3,28.3,22.1,7.0,16.7,16.9,8.2,121.6,72.2,17298.0,-2.9,1.0,632.6,529.1,8.7,23.5,17.2,5.9,67.8,24.1,9.3,34.4,100.3,11.6,11.8,a>b>d>e>c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74.8,26.9,28.1,8.0,18.2,29.3,4.5,165.2,98.8,17907.0,-1.2,2.4,641.1,486.9,3.0,19.2,14.1,4.7,77.8,24.4,14.8,38.7,108.5,7.5,6.6,a>b>d>c>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75.7,29.5,24.5,7.0,18.2,26.5,7.2,105.0,85.0,19387.0,-0.1,3.6,512.3,545.3,5.0,17.4,10.2,6.8,77.6,29.6,12.6,35.4,140.0,5.6,6.6,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.3,27.3,25.5,8.3,19.7,20.6,8.3,118.5,89.1,18238.0,-0.5,0.8,705.9,550.7,6.2,21.5,13.1,7.8,72.3,26.4,9.5,36.5,107.3,5.3,5.0,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.0,27.2,24.9,8.2,18.4,22.0,7.7,99.4,90.1,17502.0,-1.6,-2.6,756.9,530.9,4.1,19.9,13.0,6.3,76.0,27.2,10.5,38.3,95.6,8.2,8.2,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.0,27.8,25.9,7.8,19.1,22.8,6.9,157.5,87.0,19627.0,-6.2,5.7,630.2,529.5,5.8,24.0,16.1,7.1,70.2,29.6,12.9,27.7,86.6,7.3,7.9,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.1,27.5,23.8,7.2,17.2,27.7,6.5,107.1,78.3,17411.0,-0.9,6.0,677.4,520.0,6.4,19.0,12.5,6.0,74.6,26.7,9.4,38.5,43.7,8.2,9.6,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75.0,28.9,24.8,7.7,18.7,29.3,5.4,121.1,93.7,21251.0,-3.6,-0.8,664.7,551.8,4.3,25.1,17.8,6.6,70.6,30.9,13.3,26.4,133.4,6.5,5.3,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
67.5,28.2,24.9,8.3,17.3,23.4,6.9,90.1,87.2,17583.0,-0.7,1.0,690.4,478.6,0.9,16.2,11.6,4.3,82.9,24.6,20.9,37.3,114.8,10.7,10.7,a>b>e>c>d,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
67.1,26.8,26.4,9.2,17.2,30.5,7.3,103.0,50.6,16543.0,-8.3,-6.3,1095.5,397.6,0.6,40.7,35.5,3.8,58.7,21.1,14.1,23.5,114.2,10.4,8.8,b>a>d>e>c,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.6,26.6,29.7,9.4,15.9,38.8,6.7,224.1,94.5,18650.0,1.0,-3.3,929.5,462.6,0.4,11.6,6.5,3.7,88.1,26.3,22.1,39.7,99.8,9.4,9.5,b>a>d>c>e,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.8,25.5,30.0,9.9,14.8,40.9,4.9,450.6,106.7,18881.0,-3.0,1.6,1050.3,438.9,0.4,17.0,12.6,3.7,82.6,28.6,20.6,33.4,81.4,9.4,7.7,a>b>d>c>e,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
67.7,27.9,24.2,9.2,14.3,25.5,9.4,100.3,67.3,17005.0,-4.0,4.6,863.9,439.2,0.8,15.0,9.8,4.4,84.2,20.8,13.1,50.4,102.2,12.7,8.6,b>a>c>e>d,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.3,28.0,24.9,7.5,19.2,19.6,6.4,122.6,96.5,19344.0,-3.2,2.9,691.8,551.1,9.9,23.4,15.7,7.6,66.7,32.0,8.3,26.4,95.8,5.8,5.4,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
70.8,27.8,24.6,8.0,19.3,19.3,9.5,103.1,78.4,16554.0,-1.9,10.1,610.3,499.1,5.2,18.8,9.1,7.3,76.0,31.8,11.7,32.5,69.7,8.9,8.0,b>a>e>c>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
68.0,25.0,26.9,9.5,22.8,16.5,6.1,78.2,116.6,16604.0,-4.3,4.2,727.8,491.7,9.4,35.7,25.6,9.3,54.9,22.4,9.9,22.6,87.5,6.6,6.1,a>b>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.7,26.4,26.7,9.1,20.3,23.7,5.9,80.4,99.0,17390.0,-5.3,2.5,760.7,511.8,5.0,32.4,22.5,8.6,62.7,25.3,10.5,26.9,96.1,4.7,4.9,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.4,28.3,23.2,7.5,18.1,16.0,7.2,106.3,82.4,17253.0,0.7,5.0,636.5,546.8,4.0,19.2,13.3,5.6,76.8,28.1,13.9,34.8,72.7,7.3,6.4,b>a>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.8,26.3,25.9,8.6,20.2,20.4,8.1,92.3,83.5,16182.0,-4.9,4.7,695.1,511.5,4.8,28.0,18.4,7.9,67.1,28.0,12.3,26.8,84.8,5.4,4.0,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
70.6,27.1,25.4,8.4,19.5,15.1,9.3,92.6,89.8,16598.0,-2.7,5.7,625.7,504.6,4.8,17.8,10.4,6.7,77.4,32.0,15.3,30.1,57.3,8.5,8.7,b>a>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74.8,28.5,25.3,7.6,19.4,13.1,7.0,116.4,104.0,18944.0,-4.8,1.4,545.4,551.1,6.5,26.4,17.6,7.9,67.0,28.1,11.4,27.5,84.5,6.3,7.7,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74.5,27.2,25.5,8.4,19.8,16.6,6.4,92.9,85.5,19107.0,-5.5,2.2,637.3,532.4,5.0,31.3,24.0,7.0,63.7,27.2,11.0,25.5,97.7,5.4,4.6,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.6,25.4,28.0,9.8,21.6,26.6,6.1,90.0,100.8,19762.0,-4.9,3.3,860.1,502.5,6.2,34.2,26.1,7.3,59.6,24.4,11.3,23.9,58.9,4.3,4.8,a>c>b>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
69.8,28.5,23.6,7.8,18.6,24.9,4.3,77.0,92.2,17523.0,-1.6,19.9,655.0,494.8,5.0,37.8,28.3,6.2,57.2,23.0,8.7,25.5,107.0,7.9,8.8,b>a>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
67.7,28.1,24.1,7.8,18.8,23.5,5.0,126.6,80.5,17126.0,-1.3,3.8,672.7,521.8,7.4,16.9,8.5,7.9,75.7,31.8,8.1,35.8,72.3,8.2,7.5,a>b>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
71.4,26.4,28.2,8.8,15.1,32.7,5.1,155.4,93.7,21752.0,-2.8,1.9,896.6,394.5,0.4,21.1,16.5,4.0,78.6,29.7,19.2,29.6,105.1,11.1,9.9,b>a>d>e>c,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65.1,27.8,24.9,9.1,16.2,32.7,9.2,81.7,103.1,18294.0,2.1,3.1,875.2,378.5,0.4,18.0,13.1,4.2,81.6,31.1,15.8,34.7,158.4,15.4,14.1,b>a>e>d>c,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71.1,26.0,32.0,7.3,15.0,35.6,8.4,290.5,130.9,22520.0,-2.5,7.5,1236.4,461.5,0.3,13.7,10.0,2.7,86.0,28.0,31.7,26.3,152.4,9.6,7.2,a>b>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
64.8,27.2,26.3,8.3,16.8,28.3,8.5,105.0,93.0,15968.0,-9.5,3.0,702.4,423.4,0.4,25.5,19.4,4.7,74.1,26.9,16.2,31.0,206.1,13.0,10.9,b>a>e>c>d,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
69.7,27.6,26.3,8.2,15.6,35.1,8.0,158.8,97.3,19064.0,-1.6,14.6,840.7,444.9,0.5,16.7,9.1,4.9,82.8,24.1,24.8,33.8,215.6,12.3,11.8,b>a>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
68.1,28.3,25.7,8.1,16.4,31.5,7.6,140.7,99.6,18627.0,-8.6,-1.5,768.7,443.3,0.8,25.9,20.9,3.9,73.2,26.2,18.4,28.6,204.9,11.5,8.7,a>b>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
63.9,28.0,25.7,8.7,17.2,30.3,7.7,140.2,114.1,19325.0,-3.1,0.5,729.1,459.3,0.7,22.4,16.3,4.9,76.9,27.6,19.2,30.1,171.8,12.2,12.2,a>b>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
73.7,28.6,24.4,7.4,15.5,34.9,4.7,145.0,66.7,22272.0,-7.9,4.5,739.1,502.1,0.9,24.1,16.6,6.1,75.1,31.1,18.2,25.8,171.7,8.4,4.0,b>a>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
68.5,28.9,25.6,8.1,16.5,28.5,7.4,117.2,83.2,16644.0,-3.5,5.2,629.6,452.7,0.4,20.6,12.3,7.3,79.0,28.1,21.3,29.6,216.0,12.4,11.9,b>a>e>c>d,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
68.9,27.3,24.4,8.4,17.6,29.7,5.4,119.2,84.6,22131.0,-9.2,1.3,821.9,491.0,0.6,37.2,31.9,4.6,62.2,20.9,16.2,25.2,220.1,9.8,9.3,a>b>c>e>d,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70.1,27.5,25.5,8.0,17.2,34.2,5.6,148.9,91.4,21182.0,-6.8,1.1,655.1,484.5,0.5,31.5,26.0,4.7,67.9,23.7,13.3,30.9,154.7,9.4,9.7,a>b>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
68.2,27.3,26.1,8.5,16.5,33.1,7.7,238.4,88.8,20069.0,-6.0,1.0,720.6,429.8,0.7,25.5,20.1,3.7,73.9,25.1,16.1,32.6,235.7,12.5,14.2,a>b>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70.1,28.6,25.5,8.4,18.5,22.8,4.9,115.6,115.6,18223.0,-2.0,11.3,634.9,517.7,6.7,21.1,14.3,6.4,72.2,28.6,12.2,31.4,115.5,6.9,6.7,a>b>c>d>e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
73.3,28.5,24.6,7.4,16.6,30.4,5.1,156.7,101.8,22176.0,-7.7,3.1,748.9,525.0,0.9,27.4,22.2,4.4,71.7,30.8,17.4,23.4,161.0,7.4,7.0,a>b>c>d>e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
72.9,28.5,25.7,7.6,17.5,34.4,4.8,192.2,100.2,21928.0,-3.5,0.8,652.0,536.9,1.6,23.0,16.0,4.4,75.4,32.7,15.8,27.0,161.1,6.9,5.9,a>b>c>d>e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
72.2,29.0,24.9,7.8,18.1,32.3,5.4,154.8,117.7,20161.0,-3.9,6.1,620.6,533.0,3.5,26.0,19.4,6.1,70.5,29.3,13.9,27.2,180.3,7.1,6.6,a>b>c>d>e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
72.8,29.6,24.5,8.1,16.9,28.1,5.3,114.5,87.0,18922.0,-3.8,7.7,603.8,524.7,2.5,24.3,15.0,6.0,73.3,27.8,13.9,31.6,184.1,7.6,8.2,b>a>c>e>d,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76.4,26.4,30.0,8.4,16.7,46.0,4.5,376.2,94.8,20182.0,0.8,6.3,1053.1,487.1,0.3,8.1,5.5,2.0,91.6,22.7,21.1,47.7,149.6,7.6,6.5,a>b>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70.6,25.3,32.1,8.5,15.7,34.0,5.5,288.9,125.7,20298.0,-2.1,-2.8,978.4,425.2,0.2,14.0,9.8,3.2,85.8,26.5,27.5,31.8,149.3,10.6,8.7,a>b>d>c>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
71.1,26.9,26.0,7.7,16.9,40.1,3.4,150.8,83.8,18354.0,-9.9,-4.5,789.4,485.7,0.5,29.0,24.0,4.1,70.5,23.4,20.2,26.9,207.2,9.0,9.6,a>b>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
71.36346154,27.4,27.2,9.9,16.3,34.2,5.3,142.9653846,86.1,17749.0,-2.5,2.6,725.8,496.6923077,0.8,20.0,14.9,4.0,79.2,24.5,19.4,35.3,160.5,8.782692308,8.559615385,a>b>c>d>e,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
72.1,28.5,25.7,8.5,17.9,28.8,4.1,109.7,90.7,17901.0,-4.0,5.4,620.7,510.4,2.3,25.7,17.7,5.2,72.0,22.0,19.4,30.5,198.9,8.3,9.4,a>b>c>e>d,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
73.5,28.8,26.1,7.8,17.5,30.7,6.0,172.0,101.5,19198.0,-4.1,-0.5,597.1,512.4,1.4,22.8,13.1,6.5,75.7,30.5,17.1,28.2,172.4,8.1,8.4,a>b>c>d>e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70.5,29.3,24.6,8.0,18.3,28.7,5.3,131.9,101.3,18249.0,-4.5,0.7,606.2,532.6,3.0,25.4,17.5,7.0,71.6,26.1,13.5,32.1,190.4,6.7,7.7,a>b>c>d>e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70.2,28.7,25.3,8.5,18.6,28.5,7.1,104.6,103.5,17315.0,-1.1,2.9,539.2,519.1,2.7,23.3,15.1,7.7,74.0,28.5,14.8,30.7,170.2,8.1,9.1,a>b>c>e>d,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
71.1,27.3,25.2,8.5,19.0,26.4,5.9,130.6,85.5,21288.0,-8.0,0.8,712.0,539.2,1.8,34.1,28.2,5.1,64.1,22.0,16.2,25.9,157.7,7.5,8.2,a>b>c>d>e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
