Votes Total,Residents Total,Residents 0-14,Residents 15-64,Residents 65+,Population without Education,Population with High School,Companies Created,Average Monthly Income,Employees per Sector Total,Employees per Sector Agriculture,Employees per Sector Extraction Industries,Employees per Sector Transformation Industries,Employees per Sector Construction,Employees per Sector Gross and Retails Markets,Employees per Sector Administration and Services,Employees per Economic Sector Banks,Employees per Economic Sector Others,Companies Dissolved,Unemployment Total,Unemployment <25,ranking
5921,8297,729,4710,2858,1641,886,14,905.1,1936,291,0,83,703,342,72,17,0,6,500.8,61.6,e>c>d>b>a
4950,7043,719,4126,2199,1204,747,7,726.1,1517,604,69,173,112,256,36,0,0,6,340.8,52.1,d>e>c>b>a
29217,51213,7323,34574,9317,4468,7426,124,799.5,11878,1716,80,1010,1138,2660,698,172,26,75,3719.7,500.4,e>d>b>c>a
3803,4884,457,2900,1527,930,488,9,634.4,943,401,0,71,77,151,21,0,0,5,319.4,45.9,e>c>d>b>a
18986,34832,4217,22701,7915,4022,4749,91,749.5,9233,2274,0,908,932,1914,325,113,43,63,2258.7,331.8,d>e>b>c>a
10707,15328,1664,9245,4419,2323,1616,40,692.5,3810,1335,23,244,340,885,85,43,0,16,994.9,133.8,d>e>b>c>a
5294,7352,719,4287,2347,1322,838,19,689.2,1817,553,0,252,207,388,41,20,11,5,325.2,41.4,e>d>c>a>b
12403,23143,2662,14640,5842,3292,2861,46,708.8,5286,1145,0,616,354,1294,244,64,0,28,1881.8,286.3,d>e>b>c>a
7092,9173,882,5299,2993,1830,912,18,664.1,2005,801,0,125,207,400,54,20,0,8,503.2,65.1,e>d>b>c>a
4522,6485,685,3957,1843,1068,647,11,631.2,1549,679,0,124,100,275,45,10,0,7,422.3,51.7,e>c>d>b>a
3637,4480,432,2427,1622,991,362,13,622.9,763,0,0,67,100,179,25,12,0,3,188.6,27.4,d>e>c>b>a
6744,8672,687,4596,3389,1779,731,10,640.4,1854,888,0,130,171,278,50,16,0,9,455.8,60.3,e>c>d>b>a
23447,55844,7590,36639,11616,5701,7184,156,740.2,18142,1321,290,5702,1601,4563,852,137,45,68,2966.0,413.4,d>e>b>c>a
16432,43140,7144,28306,7690,4111,6173,98,881.5,11755,863,127,3682,953,2537,677,71,29,52,2528.4,258.8,e>b>d>a>c
5779,14053,2537,8966,2551,1039,1957,49,846.3,3855,174,0,591,232,893,190,27,0,17,610.9,50.3,e>d>c>b>a
5573,12940,1719,8323,2899,1458,1550,28,701.2,3269,577,0,480,258,1153,164,34,0,13,730.0,84.5,d>e>c>b>a
6995,14057,1951,8431,3676,1823,1671,28,697.7,3354,889,35,434,316,927,148,20,21,19,768.8,91.7,d>e>c>b>a
19583,51760,7392,33704,10665,4697,7513,153,752.6,15378,960,0,2072,1143,3488,2847,138,44,63,3101.1,362.2,d>e>b>c>a
11284,25681,3963,16843,4876,2945,3179,57,706.5,6994,1833,24,794,754,1461,423,41,37,33,1435.8,179.3,e>b>d>a>c
6900,14712,2092,9646,2974,1406,1913,35,704.8,3263,262,0,353,189,772,249,36,0,8,875.7,122.6,e>d>c>b>a
5426,11726,1681,7342,2703,1370,1457,45,789.3,3558,486,0,294,331,810,249,18,12,25,624.2,76.0,d>e>c>b>a
10154,27305,4112,17612,5581,2850,3158,45,737.2,7009,951,0,1681,613,1520,273,56,16,67,1682.3,214.8,d>c>e>b>a
4402,10202,1680,6767,1756,951,1324,23,717.4,2555,162,0,572,235,635,174,24,0,7,531.4,57.3,d>c>e>b>a
31635,79314,12021,51627,15667,7616,10130,219,778.4,24537,2767,5,4849,2499,6335,1287,185,80,144,4587.8,609.2,e>d>c>a>b
21916,47249,6321,31385,9544,4116,5589,112,798.1,18344,434,45,9519,1114,3912,605,132,28,58,2719.2,402.4,e>c>d>b>a
12447,24816,3545,16753,4518,2092,2783,71,804.1,7858,371,0,3283,754,1434,275,55,0,24,1321.9,178.8,c>d>b>e>a
14383,28501,3455,18165,6882,3342,3287,53,780.7,8557,863,0,3373,771,1421,424,57,15,28,1406.4,163.2,d>e>b>c>a
31529,77452,11271,52525,13656,4769,10510,256,926.7,27386,438,15,7238,1429,5232,2742,357,0,116,4722.8,593.3,e>b>c>a>d
11411,26633,3705,17664,5264,2402,2878,52,862.4,7172,352,0,2103,698,1452,536,59,13,25,1533.5,238.7,e>c>d>b>a
12868,38456,5755,26092,6610,2602,4761,81,839.5,11358,1069,36,4811,566,1649,647,69,0,44,2428.4,317.8,d>e>b>c>a
4620,10463,1662,6653,2148,1199,880,13,673.0,2185,457,0,463,213,347,148,26,0,14,492.3,72.6,d>e>b>c>a
10116,23400,3554,15132,4714,2341,2628,47,783.7,8009,337,11,3581,616,1741,335,58,23,29,1234.1,146.4,c>e>b>d>a
23679,55007,7928,38053,9026,3949,7022,151,783.3,17333,342,7,7634,928,3732,1112,108,12,50,4230.4,496.8,d>e>c>a>b
7339,12063,1487,7715,2861,1212,1381,30,780.1,3607,246,14,1522,510,641,81,27,0,10,608.5,77.3,e>d>b>c>a
11232,22889,3283,15073,4533,2666,2486,58,748.7,6000,291,15,2159,591,1324,385,44,30,34,1026.5,143.3,c>e>b>d>a
6458,11760,1244,7190,3327,1952,1249,21,670.6,2667,102,0,932,428,547,78,21,19,7,676.1,112.5,d>e>c>b>a
17629,36312,4473,22853,8987,4846,4096,70,805.1,10953,1235,57,2778,1349,2426,552,95,44,40,1816.0,225.8,d>e>c>b>a
58506,138058,17452,90418,30188,9331,21230,478,900.6,38902,790,48,3784,2509,8883,2808,528,38,199,8692.3,1108.6,e>b>d>c>a
7037,17346,2729,11376,3241,1705,2438,39,735.2,3379,93,8,737,298,698,243,32,0,13,822.3,100.3,e>d>b>a>c
25313,61291,7908,39299,14084,6642,8623,132,874.2,17464,895,36,4507,2019,3298,1357,145,17,91,4374.1,524.8,e>b>d>a>c
2546,4100,447,2353,1300,830,393,5,620.8,841,92,0,136,251,155,27,0,0,4,187.2,27.6,e>b>c>d>a
7500,17385,2822,11542,3021,1314,2466,36,744.7,3552,87,0,987,374,812,231,37,0,15,1128.0,176.3,e>b>c>a>d
8854,20299,2741,13208,4351,1807,2644,42,739.1,5635,339,0,945,463,1013,304,42,25,17,1011.3,146.3,e>b>d>a>c
7106,12292,1552,7717,3024,1664,1340,35,711.9,3169,445,0,738,275,760,106,27,0,4,723.9,78.3,d>e>c>b>a
6600,13016,1668,8625,2724,1366,1640,21,661.1,2241,263,0,139,478,565,133,17,0,8,669.9,103.3,e>b>d>a>c
12654,25980,3275,16799,5906,3265,3402,30,681.4,4918,954,0,761,645,865,347,25,39,22,1716.3,215.8,e>b>d>a>c
5523,9392,1018,5789,2585,1437,934,22,758.0,2924,397,0,814,424,571,136,23,0,7,321.1,50.4,d>e>b>c>a
11952,20407,2568,12879,4961,2695,2123,36,659.5,5249,151,19,1663,1093,1097,136,35,19,13,1127.5,191.9,e>d>b>c>a
2704,4286,318,2239,1729,1213,350,2,679.8,487,49,0,34,140,103,10,11,0,1,128.3,17.2,d>e>c>b>a
8070,14783,1704,9347,3732,2163,1437,15,687.7,2782,147,0,260,659,686,139,24,0,11,630.8,92.7,e>c>d>b>a
3185,5778,711,3401,1667,916,632,6,677.5,1449,92,0,293,212,221,134,0,0,3,276.1,32.6,d>e>c>b>a
10077,18620,2163,11236,5222,3205,2579,19,698.4,2941,251,0,606,282,761,123,20,10,9,911.4,121.1,e>c>d>b>a
6255,11893,1551,7569,2773,1575,1201,20,616.3,3456,126,0,1826,279,523,56,18,0,7,723.7,117.8,e>c>d>b>a
3525,7174,1030,4812,1333,803,867,18,688.6,2237,44,0,547,171,894,103,0,0,4,439.9,71.3,e>d>c>b>a
4082,7102,736,4093,2274,1364,708,13,623.0,1933,105,0,270,379,411,22,22,0,5,315.8,55.0,d>e>b>c>a
6940,12835,1557,7947,3332,2027,1566,39,692.0,3228,108,8,799,591,703,88,31,12,22,686.8,98.7,d>e>b>c>a
6576,15812,2362,10455,2996,1478,2013,41,753.9,6979,232,86,1890,1324,1636,372,41,0,17,668.9,81.1,d>e>b>c>a
1954,2983,294,1740,950,518,294,1,787.9,572,25,0,202,50,82,36,0,0,6,205.6,26.4,e>d>b>c>a
4002,5986,616,3544,1827,1037,634,4,687.4,1026,70,0,124,209,276,26,0,0,5,444.2,75.3,e>d>b>c>a
48900,126163,18611,85091,22461,10931,17851,438,821.2,45735,1382,223,11307,6762,10211,3048,453,93,185,6642.8,876.8,e>d>b>c>a
14607,38705,5715,25425,7565,3198,5809,109,950.6,13772,65,0,6850,446,2301,1006,89,0,48,2131.0,274.8,e>c>d>a>b
2185,3724,448,2094,1182,697,392,14,659.7,814,47,0,202,54,195,45,0,0,5,199.3,31.1,d>e>c>b>a
22535,54413,7306,34341,12766,8928,6453,129,745.3,17431,583,233,3473,3733,3694,609,123,102,90,2367.7,321.2,d>e>b>c>a
11279,24082,3454,15568,5061,2569,2801,47,766.0,7514,311,429,2493,954,1399,241,69,31,25,1263.1,146.5,e>d>b>c>a
4214,5266,542,3283,1441,1236,514,8,604.0,1300,216,22,164,199,362,15,18,0,5,222.4,49.3,c>e>d>b>a
5137,9684,1309,6008,2367,1317,993,14,703.2,2362,177,0,813,251,383,81,19,0,6,581.5,87.9,e>d>b>c>a
9389,14883,1919,9039,3925,2765,1262,28,638.6,2810,0,48,388,472,714,100,30,6,12,915.4,164.5,e>d>b>c>a
10548,19559,2642,12333,4585,2272,2135,32,738.6,6925,0,82,2624,492,993,140,45,0,17,1303.6,169.3,e>c>d>b>a
7336,13734,1830,8568,3336,1529,1601,20,804.0,3365,0,0,1249,296,569,141,31,0,8,893.4,122.6,e>c>d>b>a
5416,10180,1487,6565,2129,1041,1132,28,865.9,5299,440,0,2744,521,802,131,32,0,13,494.1,78.1,e>b>c>a>d
5211,7737,897,4650,2191,1509,640,8,639.0,1559,362,31,155,391,213,23,0,0,1,435.6,72.4,e>c>d>b>a
6300,11242,1409,6944,2889,1432,1255,12,705.1,2301,0,0,465,369,460,210,19,0,20,601.6,88.7,e>d>b>c>a
10622,16429,2016,10070,4343,2341,1779,28,630.7,3229,267,0,665,407,676,142,23,21,19,881.8,155.8,e>d>b>a>c
7092,12204,1522,7862,2821,1913,1249,12,597.4,2362,0,8,480,486,448,71,18,0,5,690.5,106.4,d>e>b>c>a
15079,28328,3282,17195,7851,3832,3073,55,777.8,7602,806,10,2444,839,1373,444,59,0,18,1149.2,196.7,d>e>b>c>a
3240,5043,646,3077,1321,888,518,12,612.3,849,123,0,90,120,282,15,0,0,3,333.6,54.9,e>d>b>c>a
41811,98601,14813,65292,18496,8360,13792,288,763.3,24646,1035,82,3106,3361,5944,1554,344,23,166,6187.1,831.8,d>e>b>c>a
6414,10282,1216,6266,2800,1360,1038,15,678.7,2083,358,0,473,400,363,81,0,0,3,515.5,80.8,d>e>a>b>c
24116,54707,6970,34851,12887,6030,8265,106,745.8,12009,634,0,2044,1257,2830,581,172,0,69,3830.0,443.8,e>d>c>b>a
5820,9224,902,4481,3841,2491,747,25,668.5,1694,536,0,149,157,293,42,0,18,6,466.1,62.1,e>d>c>b>a
3755,5494,393,3029,2073,1381,432,5,679.1,991,98,0,278,145,214,22,11,0,3,224.9,28.8,c>e>d>b>a
3588,5384,407,2770,2207,1451,456,11,657.2,791,118,0,82,188,178,59,0,0,2,203.7,29.9,e>b>c>d>a
4818,8053,767,4721,2566,1451,937,7,667.2,1607,80,0,318,280,379,111,22,0,5,361.2,50.8,e>d>c>b>a
2148,3407,176,1863,1369,616,309,4,939.2,854,108,0,405,46,76,32,0,0,0,127.5,15.3,e>d>c>b>a
16685,37895,4672,23236,9987,4396,4933,47,835.4,7143,443,0,1826,524,1644,438,87,17,22,2649.0,347.2,e>d>c>a>b
6975,13490,1797,8497,3197,1342,1807,43,799.3,6125,86,0,2387,196,1429,150,30,0,15,513.7,80.9,e>c>d>b>a
2270,4041,628,2535,878,404,556,6,943.6,999,55,0,618,19,56,27,18,0,1,232.0,37.7,d>c>e>b>a
7779,20433,3233,13549,3651,1002,3615,39,854.4,4733,39,0,1420,182,1196,509,48,0,14,959.4,141.8,e>d>c>a>b
4989,8409,1048,5055,2306,1453,892,16,663.9,1927,516,0,224,398,384,69,13,0,3,305.0,45.7,d>e>b>c>a
4723,7018,599,3818,2601,1346,653,12,653.6,1311,103,0,295,215,330,69,12,0,6,283.8,44.3,d>e>c>b>a
21587,45545,6380,29387,9779,5947,5559,112,749.6,14211,254,78,2794,2406,3450,558,163,13,56,1901.5,253.0,e>c>d>b>a
2468,3894,445,2446,1003,451,498,6,655.9,633,46,0,67,155,133,31,0,0,7,253.4,44.9,d>e>c>b>a
8803,15517,1931,9271,4315,2592,1785,22,652.3,3604,286,0,738,608,903,79,35,34,13,897.3,159.2,d>e>b>c>a
18112,39376,4789,24453,10135,4049,5456,55,771.6,7343,298,0,1111,964,1942,398,92,11,35,2038.5,270.1,e>d>c>a>b
15597,36197,4859,22661,8677,3412,5155,61,799.9,9248,393,0,2013,846,1803,719,100,0,51,1658.8,208.1,e>d>c>a>b
1986,3452,267,1941,1244,686,328,7,628.6,578,43,0,146,97,110,17,8,0,5,109.2,22.7,d>e>b>c>a
3419,7332,998,4480,1854,626,1061,8,677.3,879,17,0,95,77,256,84,0,0,10,307.7,50.8,e>d>c>b>a
4678,6732,489,3890,2353,1150,794,6,637.9,1147,179,0,66,145,243,56,22,0,7,261.8,32.3,e>c>d>b>a
3765,6698,761,4258,1680,988,796,14,647.4,1936,117,0,728,267,376,70,18,0,6,498.7,53.9,e>b>d>c>a
5383,7458,882,4405,2171,1312,722,7,616.4,1396,166,0,369,98,256,39,16,0,5,484.8,74.9,e>c>d>b>a
26920,50118,6073,31922,12123,5682,6817,105,725.2,11482,422,364,3311,969,2179,717,115,0,113,3589.8,431.9,e>d>c>a>b
4329,6118,689,3503,1927,1150,528,9,629.7,1061,368,0,137,83,165,21,16,0,4,265.6,43.9,e>d>c>b>a
3627,4904,521,2977,1407,866,423,4,593.3,837,77,0,117,143,197,22,0,0,16,278.5,46.1,e>d>b>c>a
14686,28380,3359,17359,7663,4506,3099,65,677.7,6476,863,0,1304,677,1523,219,61,30,32,1892.0,214.5,d>e>c>b>a
8547,13553,1368,7840,4345,2126,1279,17,663.3,2242,244,0,300,341,564,151,0,0,10,864.9,124.9,e>c>d>b>a
21817,41272,5399,27230,8643,3848,5812,122,756.3,10628,552,0,2089,1135,2404,343,146,0,42,2770.9,344.5,e>b>d>a>c
2335,3322,333,2106,884,436,368,1,679.6,535,23,0,50,123,113,32,0,0,0,216.1,27.8,d>e>c>b>a
3782,4984,484,2791,1709,1017,426,13,634.8,1145,355,0,102,226,193,17,9,0,2,155.1,23.1,e>c>b>d>a
6106,9270,952,5367,2952,1642,941,18,641.0,2521,988,50,298,327,437,61,0,6,6,390.8,52.3,d>e>b>c>a
8125,12030,924,6381,4726,2783,1092,19,642.4,2194,318,0,358,366,518,64,27,0,12,444.6,92.9,d>e>b>c>a
12839,23958,2496,15328,6135,3096,2768,50,672.7,5271,230,0,1348,671,1330,161,55,39,30,1482.8,233.2,e>c>d>b>a
6461,9602,974,5776,2852,1620,1002,20,683.4,2396,516,0,284,278,642,43,30,0,6,355.2,53.3,e>d>b>c>a
6583,18293,3544,11876,2874,1090,2926,62,1379.2,4897,467,0,0,423,1590,361,29,0,26,1026.4,85.0,d>b>e>c>a
55294,171481,26222,109080,36180,11069,28068,481,875.2,32382,345,0,0,2653,6205,5130,474,0,232,10317.3,1043.3,d>c>e>a>b
54199,175493,26270,112717,36506,11752,28390,430,1091.6,49616,223,0,0,4325,10627,9933,370,0,349,12225.3,1278.7,e>b>d>a>c
29507,77577,11285,48406,17886,5249,12494,131,857.1,12046,94,5,0,884,2597,1574,162,0,79,5344.1,577.8,d>c>e>a>b
59598,208418,34709,135445,38264,9767,37171,955,985.6,60430,0,4,0,4300,12533,6263,597,0,839,11941.7,1190.2,e>b>d>a>c
212890,520549,73048,305456,142046,32413,80869,3993,1289.4,530346,3368,0,0,18157,108070,130593,18567,436,1982,31934.3,3218.3,e>b>d>a>c
75916,205580,32332,134339,38909,13596,31177,574,943.5,59793,495,0,0,4787,14242,7936,420,36,397,11562.8,1281.4,d>a>e>b>c
26836,79772,15200,52444,12128,4889,11779,295,740.2,25439,1020,0,0,1851,5351,4342,162,41,123,3686.4,321.8,d>e>c>b>a
22274,65632,10568,43330,11734,5139,9906,90,796.9,8786,273,0,0,1248,1891,891,89,0,64,4939.8,564.6,d>b>e>a>c
15185,53586,9187,35557,8843,4124,8215,149,807.1,11865,1721,0,0,616,2770,1357,112,0,62,3672.8,409.3,e>c>d>a>b
47698,149902,23206,99726,26970,8274,23533,402,773.0,28752,178,0,0,3710,6160,4994,245,0,208,7981.9,720.1,e>c>d>a>b
62847,172689,27236,108860,36594,7196,30518,726,1404.7,130953,0,0,0,16844,30644,28447,5554,0,435,8459.5,762.5,d>e>c>b>a
17953,63723,10910,41370,11444,5271,9448,166,1054.9,22676,0,0,0,1844,3013,2052,93,21,100,3396.0,364.1,d>b>e>a>c
47066,161976,26183,109339,26455,8558,26710,364,1001.1,27717,196,0,0,2615,7057,3118,313,0,190,10116.1,1045.5,d>c>e>a>b
14144,50276,8915,33219,8142,3167,7998,118,766.9,8808,738,0,0,1141,1695,1048,100,8,72,2818.0,262.7,d>b>e>a>c
